X-time;Y-g 
0;-0.1412
0.025;0.9714
0.05;-0.0762
0.075;-1.0406
0.1;0.5095
0.125;0.4214
0.15;-0.5748
0.175;-0.1894
0.2;0.6704
0.225;-0.4628
0.25;-0.0889
0.275;0.3161
0.3;0.053
0.325;-0.3723
0.35;-0.4144
0.375;0.4548
0.4;0.4863
0.425;-0.5473
0.45;-0.0089
0.475;0.0469
0.5;0.5035
0.525;-0.0626
0.55;-0.2577
0.575;-0.1898
0.6;0.3095
0.625;8e-04
0.65;-0.4605
0.675;0.6349
0.7;0.2759
0.725;-0.7528
0.75;0.5549
0.775;-0.3302
0.8;-0.043
0.825;0.513
0.85;-0.6437
0.875;0.1889
0.9;0.7545
0.925;-0.6569
0.95;-0.4601
0.975;0.5879
1;-0.1156
1.025;0.072
1.05;-0.1234
1.075;-0.1632
1.1;0.4648
1.125;-0.7831
1.15;-0.0086
1.175;0.682
1.2;-0.0521
1.225;-0.4304
1.25;-0.1383
1.275;0.1511
1.3;0.3463
1.325;-0.1338
1.35;-0.3365
1.375;0.1449
1.4;-0.2487
1.425;0.2679
1.45;0.2165
1.475;0.1543
1.5;-0.4876
1.525;0.0868
1.55;0.6448
1.575;-0.6938
1.6;-0.0309
1.625;0.3881
1.65;0.0668
1.675;0.2649
1.7;-0.3017
1.725;-0.4015
1.75;-0.121
1.775;0.9028
1.8;-0.0803
1.825;-0.6264
1.85;0.6509
1.875;-0.2955
1.9;-0.3871
1.925;0.373
1.95;0.0916
1.975;-0.0442
2;-0.3096
2.025;0.3574
2.05;-0.3246
2.075;-0.0239
2.1;0.5079
2.125;-0.3875
2.15;-0.5055
2.175;0.4647
2.2;-0.2811
2.225;0.4198
2.25;0.2082
2.275;-0.9195
2.3;0.2714
2.325;0.6146
2.35;-0.0446
2.375;-0.8538
2.4;0.0442
2.425;0.2713
2.45;0.8457
2.475;-0.2411
2.5;-1.0262
2.525;0.0825
2.55;1.0766
2.575;0.1026
2.6;-0.8098
2.625;-0.2502
2.65;0.7841
2.675;0.2544
2.7;-0.3491
2.725;-0.5676
2.75;0.6026
2.775;0.1822
2.8;-0.3439
2.825;-0.1501
2.85;0.675
2.875;-0.3826
2.9;-0.2381
2.925;0.1693
2.95;0.2345
2.975;-0.2324
3;-0.3715
3.025;0.2046
3.05;0.5249
3.075;-0.2766
3.1;-0.1817
3.125;-0.5515
3.15;0.541
3.175;-0.1043
3.2;-0.0633
3.225;0.588
3.25;-0.9472
3.275;0.1551
3.3;0.5126
3.325;-0.4439
3.35;0.1996
3.375;-0.1306
3.4;-0.4149
3.425;0.9311
3.45;-0.2556
3.475;-0.6315
3.5;0.4385
3.525;0.6432
3.55;-0.783
3.575;-0.1174
3.6;0.6343
3.625;0.1374
3.65;-0.451
3.675;-0.0494
3.7;0.5568
3.725;-0.1799
3.75;-0.3068
3.775;-0.1468
3.8;0.4042
3.825;0.1894
3.85;-0.285
3.875;0.2151
3.9;-0.1443
3.925;-0.4217
3.95;0.5845
3.975;0.4114
4;-0.8359
4.025;-0.4584
4.05;0.7709
4.075;0.1831
4.1;-0.6685
4.125;-0.1628
4.15;1.2551
4.175;-1.0177
4.2;-0.1312
4.225;0.0026
4.25;0.4481
4.275;-0.2194
4.3;-0.4087
4.325;0.5086
4.35;0.0067
4.375;-0.2307
4.4;-0.1367
4.425;0.1819
4.45;0.302
4.475;-0.3187
4.5;-0.1742
4.525;0.6002
4.55;0.0611
4.575;-0.5014
4.6;-0.0604
4.625;0.0864
4.65;0.6073
4.675;0.4043
4.7;-1.0893
4.725;-0.7176
4.75;1.3293
4.775;0.4625
4.8;-0.902
4.825;0.3623
4.85;-0.3779
4.875;0.158
4.9;0.1595
4.925;0.2542
4.95;-0.7304
4.975;0.353
5;0.1747
5.025;-0.2363
5.05;0.058
5.075;-0.2754
5.1;0.055
5.125;0.6074
5.15;-0.7608
5.175;0.2145
5.2;-0.1256
5.225;-0.2709
5.25;0.6161
5.275;-0.237
5.3;-0.0329
5.325;-0.3533
5.35;0.6568
5.375;-0.3397
5.4;0.044
5.425;-0.2745
5.45;0.1476
5.475;0.6752
5.5;-0.4471
5.525;-0.5778
5.55;0.3256
5.575;0.8733
5.6;-0.5433
5.625;-0.277
5.65;0.3564
5.675;0.1624
5.7;-0.3344
5.725;0.1705
5.75;-0.1565
5.775;0.1521
5.8;0.1391
5.825;-0.0461
5.85;-0.3252
5.875;0.2576
5.9;0.1518
5.925;-0.0985
5.95;-0.4145
5.975;0.5254
6;0.015
6.025;-0.4051
6.05;-0.4632
6.075;0.6369
6.1;0.5245
6.125;-0.8241
6.15;-0.3837
6.175;0.4874
6.2;0.2674
6.225;-0.1423
6.25;-0.636
6.275;0.3733
6.3;0.3749
6.325;-0.5724
6.35;0.3863
6.375;-0.0207
6.4;0.052
6.425;-0.5363
6.45;0.4613
6.475;-0.0811
6.5;0.3993
6.525;-0.2279
6.55;-0.4584
6.575;0.5385
6.6;-0.1841
6.625;0.3911
6.65;-0.4394
6.675;0.2508
6.7;0.1958
6.725;-0.1043
6.75;-0.1928
6.775;0.0724
6.8;0.3004
6.825;-0.3357
6.85;0.0662
6.875;-0.0486
6.9;0.1614
6.925;-0.0564
6.95;-0.1833
6.975;0.2014
7;-0.1423
7.025;0.2243
7.05;-0.2385
7.075;-0.3056
7.1;0.3795
7.125;-0.4469
7.15;0.4615
7.175;0.3091
7.2;-0.7822
7.225;-0.2173
7.25;0.1679
7.275;0.6467
7.3;-0.1343
7.325;-0.4378
7.35;-0.1
7.375;0.1778
7.4;0.2789
7.425;0.0375
7.45;-0.2389
7.475;-0.1632
7.5;0.4242
7.525;-0.0745
7.55;-0.0521
7.575;-0.2302
7.6;0.3768
7.625;0.2427
7.65;-0.3949
7.675;-0.1065
7.7;0.4104
7.725;-0.3322
7.75;0.6172
7.775;-0.4418
7.8;-0.2107
7.825;0.3862
7.85;0.2356
7.875;-0.6453
7.9;-0.2854
7.925;1.0664
7.95;-0.2261
7.975;-0.3511
8;-0.2683
8.025;0.2936
8.05;-0.1772
8.075;0.0469
8.1;-0.0777
8.125;0.1721
8.15;0.3334
8.175;-0.8791
8.2;0.1597
8.225;0.303
8.25;-0.0695
8.275;-0.1316
8.3;0.1084
8.325;-0.1662
8.35;0.0195
8.375;0.2703
8.4;-0.2114
8.425;-0.0461
8.45;-0.0712
8.475;0.0375
8.5;0.6091
8.525;-0.1707
8.55;-0.2471
8.575;0.1266
8.6;-0.3141
8.625;0.3932
8.65;0.2065
8.675;-0.3481
8.7;-0.01
8.725;0.3591
8.75;-0.3024
8.775;0.19
8.8;-0.024
8.825;0.082
8.85;0.4396
8.875;-1.081
8.9;0.4078
8.925;0.4955
8.95;-0.6638
8.975;-0.2374
9;0.8992
9.025;-0.2109
9.05;-0.6898
9.075;0.7316
9.1;-0.483
9.125;-0.3718
9.15;0.7358
9.175;-0.2104
9.2;-0.4215
