X-time;Y-g
0;-0.0294
0.025;-0.0257
0.05;-0.0222
0.075;-0.0111
0.1;0.0267
0.125;-0.0176
0.15;0.0257
0.175;0.0313
0.2;-0.0121
0.225;0.0439
0.25;0.0499
0.275;0.0109
0.3;0.0568
0.325;0.0466
0.35;0.0635
0.375;0.0285
0.4;0.0171
0.425;0.0428
0.45;0.0967
0.475;0.0132
0.5;0.0115
0.525;0.0073
0.55;0.0502
0.575;0.0075
0.6;0.0105
0.625;0.0129
0.65;-0.021
0.675;-0.021
0.7;-0.0231
0.725;-0.0217
0.75;-0.0133
0.775;-0.0414
0.8;-0.0523
0.825;-0.0813
0.85;-0.0429
0.875;-0.0254
0.9;-0.0544
0.925;-0.0473
0.95;-0.06
0.975;-0.0305
1;-0.0328
1.025;-0.0387
1.05;0.0082
1.075;0.0189
1.1;-0.0345
1.125;-0.0126
1.15;0.024
1.175;0.0281
1.2;0.02
1.225;0.0511
1.25;0.0227
1.275;0.0262
1.3;0.0449
1.325;0.0569
1.35;0.0447
1.375;0.0425
1.4;0.0456
1.425;0.0224
1.45;0.033
1.475;0.0593
1.5;0.026
1.525;0.0204
1.55;0.0603
1.575;0.0131
1.6;-0.0276
1.625;-0.0072
1.65;0.0146
1.675;-0.0027
1.7;-0.053
1.725;-0.0219
1.75;-0.0488
1.775;-0.0455
1.8;-0.0576
1.825;-0.005
1.85;-0.0807
1.875;-0.0659
1.9;-0.0315
1.925;-0.029
1.95;-0.0624
1.975;-0.0389
2;-0.0027
2.025;-0.032
2.05;-0.0271
2.075;0.0043
2.1;-0.0017
2.125;-0.002
2.15;0.024
2.175;0.0341
2.2;-0.0105
2.225;0.008
2.25;0.0843
2.275;0.0458
2.3;0.0226
2.325;0.0032
2.35;0.0941
2.375;0.0364
2.4;0.0456
2.425;0.0311
2.45;0.0527
2.475;0.0363
2.5;0.0275
2.525;0.0628
2.55;-0.0203
2.575;0.0189
2.6;0.0245
2.625;0.0158
2.65;-0.0439
2.675;-0.0072
2.7;-0.0421
2.725;0.0074
2.75;-0.0665
2.775;-0.0583
2.8;-0.0421
2.825;-0.0397
2.85;-0.0503
2.875;-0.0563
2.9;-0.0582
2.925;-0.0685
2.95;-0.0215
2.975;-0.0234
3;-0.0206
3.025;-0.0338
3.05;-0.0292
3.075;0.0072
3.1;0.006
3.125;0.0321
3.15;-0.0279
3.175;0.0215
3.2;0.0506
3.225;0.0292
3.25;0.0378
3.275;0.0331
3.3;0.0456
3.325;0.0426
3.35;0.0408
3.375;0.0524
3.4;0.0605
3.425;0.0273
3.45;0.0291
3.475;0.0381
3.5;0.057
3.525;0.0103
3.55;0.0154
3.575;0.0062
3.6;0.0162
3.625;-0.0024
3.65;-0.0049
3.675;-0.0318
3.7;-0.052
3.725;0.0028
3.75;-0.0154
3.775;-0.1004
3.8;-0.0499
3.825;-0.0359
3.85;-0.0495
3.875;-0.0502
3.9;-0.0473
3.925;-0.0639
3.95;-0.0281
3.975;-0.0367
4;0.0073
4.025;-0.0523
4.05;-0.0069
4.075;-0.0034
4.1;-0.0117
4.125;0.0382
4.15;0.0245
4.175;-0.0128
4.2;0.0458
4.225;0.0446
4.25;0.0254
4.275;0.0425
4.3;0.0382
4.325;0.0559
4.35;0.0487
4.375;0.0357
4.4;0.0136
4.425;0.0555
4.45;0.0582
4.475;0.0117
4.5;0.0211
4.525;0.0592
4.55;-0.0221
4.575;0.011
4.6;0.0359
4.625;-0.0078
4.65;-0.0052
4.675;-0.0241
4.7;-0.0517
4.725;-0.0449
4.75;0.0017
4.775;-0.0473
4.8;-0.0503
4.825;-0.0667
4.85;-0.0499
4.875;-0.0432
4.9;-0.0393
4.925;-0.0304
4.95;-0.052
4.975;-0.0648
5;-0.0133
5.025;0.0041
5.05;0.0101
5.075;-0.0208
5.1;-0.0453
5.125;0.0383
5.15;0.0557
5.175;-0.0142
5.2;0.0145
5.225;0.0299
5.25;0.0498
5.275;0.0415
5.3;0.0455
5.325;0.0336
5.35;0.0368
5.375;0.073
5.4;0.0189
5.425;0.0328
5.45;0.0637
5.475;0.0293
5.5;0.0044
5.525;0.0471
5.55;0.0084
5.575;0.0312
5.6;-0.0154
5.625;0.0054
5.65;0.0063
5.675;-0.0525
5.7;-0.0258
5.725;-0.0087
5.75;-0.0462
5.775;-0.0565
5.8;-0.0488
5.825;-0.0378
5.85;-0.0547
5.875;-0.053
5.9;-0.0356
5.925;-0.0484
5.95;-0.0403
5.975;-0.0722
6;0.0295
6.025;-0.0148
6.05;-0.0385
6.075;-0.0034
6.1;-0.0081
6.125;0.0384
6.15;0.0133
6.175;-0.0051
6.2;0.0215
6.225;0.0364
6.25;0.0537
6.275;0.0204
6.3;0.0548
6.325;0.0182
6.35;0.037
6.375;0.082
6.4;0.0331
6.425;0.0491
6.45;0.006
6.475;0.0623
6.5;0.024
6.525;0.0512
6.55;4e-04
6.575;0.0346
6.6;-0.0032
6.625;-0.0368
6.65;0.0237
6.675;0.0038
6.7;-0.057
6.725;-0.0603
6.75;-0.0222
6.775;-0.0427
6.8;-0.0483
6.825;-0.049
6.85;-0.0367
6.875;-0.0422
6.9;-0.0788
6.925;-0.0525
6.95;-0.0098
6.975;-0.0307
7;-0.0353
7.025;-0.0465
7.05;0.0217
7.075;0.0041
7.1;-0.0275
7.125;0.0106
7.15;0.0097
7.175;0.038
7.2;0.0048
7.225;0.0154
7.25;0.0397
7.275;0.0647
7.3;0.0264
7.325;0.0522
7.35;0.0373
7.375;0.0324
7.4;0.0615
7.425;0.0556
7.45;0.0251
7.475;0.0347
7.5;0.0315
7.525;0.0407
7.55;-0.0142
7.575;0.0413
7.6;-0.0021
7.625;0.0402
7.65;-0.0524
7.675;-0.0157
7.7;-0.0197
7.725;-0.0142
7.75;-0.0526
7.775;-0.066
7.8;-0.0281
7.825;-0.0343
7.85;-0.0863
7.875;-0.0492
7.9;0
7.925;-0.0728
7.95;-0.0458
7.975;-0.0379
8;-0.0213
8.025;-0.0231
8.05;-0.0306
8.075;0.0239
8.1;-0.006
8.125;-8e-04
8.15;0.0018
8.175;-0.0049
8.2;0.0524
8.225;0.0432
8.25;0.0441
8.275;0.0185
8.3;0.0148
8.325;0.0417
8.35;0.117
8.375;0.021
8.4;0.0574
8.425;-0.018
8.45;0.0517
8.475;0.0661
8.5;0.0344
8.525;0.0364
8.55;-0.0048
8.575;0.0029
8.6;0.022
8.625;-0.0077
8.65;0.0081
8.675;-0.0108
8.7;-0.0477
8.725;-0.0545
8.75;-0.0365
8.775;-0.0242
8.8;-0.0373
8.825;-0.039
8.85;-0.0727
8.875;-0.0508
8.9;-0.0628
8.925;-0.0181
8.95;-0.0344
8.975;-0.033
9;-0.0431
9.025;-0.0294
9.05;-0.01
9.075;-0.0061
9.1;0.0132
9.125;0.0046
9.15;0.0023
9.175;0.0234
9.2;4e-04
9.225;0.0574
9.25;0.0453
9.275;0.0281
9.3;0.0247
9.325;0.0715
9.35;0.0329
9.375;0.0583
9.4;0.0249
9.425;0.0368
9.45;0.0745
9.475;0.0292
9.5;0.0124
9.525;0.0177
9.55;0.0352
9.575;0.0166
9.6;0.0116
9.625;-0.0238
9.65;0.0046
9.675;-0.041
9.7;-0.0165
9.725;0.0023
9.75;-0.0438
9.775;-0.0858
9.8;-0.0377
9.825;-0.0521
9.85;-0.034
9.875;-0.0534
9.9;-0.0373
9.925;-0.0809
9.95;-0.051
9.975;0.0083
10;-0.0289
10.025;-0.0358
10.05;-0.0137
10.075;0.0108
10.1;0.0066
10.125;-0.0174
10.15;0.0012
10.175;0.0518
10.2;0.0423
