X-time;Y-g
0;0.082
0.025;0.0392
0.05;0.0207
0.075;9e-04
0.1;0.0402
0.125;0.0033
0.15;-0.0153
0.175;-0.0391
0.2;-0.0503
0.225;-0.039
0.25;-0.0552
0.275;-0.0914
0.3;-0.065
0.325;-0.1157
0.35;-0.0575
0.375;-0.1018
0.4;-0.0749
0.425;-0.0586
0.45;-0.0718
0.475;-0.0857
0.5;-0.0169
0.525;-0.0613
0.55;0.0058
0.575;-0.0048
0.6;-0.0424
0.625;0.0202
0.65;0.0361
0.675;0.0355
0.7;0.0512
0.725;0.0176
0.75;0.0667
0.775;0.0913
0.8;0.0421
0.825;0.0646
0.85;0.0972
0.875;0.0808
0.9;0.0625
0.925;0.0732
0.95;0.0379
0.975;0.0769
1;0.0853
1.025;0.0229
1.05;0.0203
1.075;0.0461
1.1;0.0123
1.125;0.0028
1.15;-0.0279
1.175;-0.0318
1.2;-0.0372
1.225;-0.0393
1.25;-0.0894
1.275;-0.0807
1.3;-0.0722
1.325;-0.0795
1.35;-0.0773
1.375;-0.0801
1.4;-0.1253
1.425;-0.0474
1.45;-0.038
1.475;-0.062
1.5;-0.0797
1.525;-0.0242
1.55;-0.0085
1.575;-0.0446
1.6;0.0109
1.625;0.0188
1.65;0.0198
1.675;0.047
1.7;0.0616
1.725;0.0314
1.75;0.0352
1.775;0.0625
1.8;0.1076
1.825;0.0749
1.85;0.0324
1.875;0.0986
1.9;0.0289
1.925;0.1215
1.95;0.058
1.975;0.0522
2;0.0636
2.025;0.0361
2.05;0.0424
2.075;0.0051
2.1;0.0333
2.125;-0.0214
2.15;0.0162
2.175;-0.0564
2.2;-0.011
2.225;-0.0774
2.25;-0.0555
2.275;-0.0729
2.3;-0.0714
2.325;-0.0907
2.35;-0.0853
2.375;-0.1429
2.4;-0.037
2.425;-0.0616
2.45;-0.0517
2.475;-0.0827
2.5;-0.0604
2.525;-0.0631
2.55;-0.0052
2.575;0.0097
2.6;5e-04
2.625;0.0026
2.65;-0.0018
2.675;0.0621
2.7;0.0282
2.725;0.0799
2.75;0.0524
2.775;0.0736
2.8;0.0079
2.825;0.1167
2.85;0.0835
2.875;0.0816
2.9;0.0457
2.925;0.0898
2.95;0.0558
2.975;0.0749
3;0.0519
3.025;0.0451
3.05;0.0386
3.075;0.0306
3.1;0.0026
3.125;-0.0075
3.15;-0.0027
3.175;-0.0364
3.2;-0.0209
3.225;-0.0472
3.25;-0.0839
3.275;-0.0814
3.3;-0.0828
3.325;-0.0811
3.35;-0.124
3.375;-0.0499
3.4;-0.0949
3.425;-0.0718
3.45;-0.0729
3.475;-0.0689
3.5;-0.0231
3.525;-0.0198
3.55;-0.0428
3.575;-0.0202
3.6;-6e-04
3.625;-0.0059
3.65;0.0421
3.675;0.0503
3.7;0.0434
3.725;0.015
3.75;0.054
3.775;0.067
3.8;0.0971
3.825;0.0473
3.85;0.0964
3.875;0.0738
3.9;0.0615
3.925;0.0767
3.95;0.0629
3.975;0.0868
4;0.0477
4.025;0.0317
4.05;0.0412
4.075;0.0301
4.1;0.0051
4.125;0.0177
4.15;-0.0123
4.175;-0.0315
4.2;-0.0559
4.225;-0.0231
4.25;-0.0744
4.275;-0.0889
4.3;-0.0686
4.325;-0.0632
4.35;-0.127
4.375;-0.0946
4.4;-0.0761
4.425;-0.0784
4.45;-0.0793
4.475;0.0055
4.5;-0.1358
4.525;-0.0291
4.55;-0.0051
4.575;-2e-04
4.6;0.0172
4.625;-0.0126
4.65;0.0108
4.675;0.035
4.7;0.0664
4.725;0.0611
4.75;0.0031
4.775;0.088
4.8;0.1036
4.825;0.0471
4.85;0.0668
4.875;0.0574
4.9;0.0923
4.925;0.1004
4.95;0.0787
4.975;0.031
5;0.0457
5.025;0.0412
5.05;0.0653
5.075;0.0406
5.1;-0.0159
5.125;0.0014
5.15;-0.0066
5.175;-0.0222
